source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,source_n_cells,target_n_cells,min_source_target_n_cells
Colonocytes DUOX2,Plasma cell,CALM1,PTPRA,0.9759265,0.0,0.2549306,0.43094268,0.6641399,0.0014035355,0.9057351,0.6340737704714575,0.2128956465522007,4757,21820,4757
Stem cells,Plasma cell,PLA2G2A,ITGA4,0.9373527,0.0,0.25489038,1.0726825,1.2727237,0.00857368,0.9057283,0.0331053056039295,0.2129167932134612,2790,21820,2790
Plasma cell cycling,Paneth cells,TXLNA,STX4,0.099658914,0.066,0.009396765,0.11481628,0.038386047,0.0010958702,0.64847076,1.0,0.2129361982481685,72,5623,72
Monocytes inflammatory,Monocytes,S100A9,CD68,0.71722925,0.0,0.5143621,1.981627,1.5112722,0.010689426,0.93173206,0.012288866402189,0.2129379407753858,50,767,50
Th naive,Colonocytes,IL16,CD9,0.7641531,0.0,0.25488937,0.5997387,0.7243992,0.0033983705,0.90572816,0.0576845489771751,0.2129379407753858,1182,12656,1182
Tfh,Monocytes,HMGB1,CXCR4,0.71717787,0.693,0.51230884,0.056293935,-0.28146186,0.0006877468,0.93160474,1.0,0.2129590892379514,1216,767,767
Macrophages proliferating,Tc naive,PKM,CD44,0.7171736,0.0,0.30772343,0.6207467,0.5409545,0.0013343642,0.91346866,0.4356921538512449,0.2129802386011351,127,406,127
Macrophages IFN-activated,Stem cells,C1QB,LRP1,1.1911043,0.0,0.25488272,1.6810902,1.7121634,0.008633652,0.905727,0.0276603062409145,0.2129802386011351,818,2790,818
Capillary endothelial cells,Stem cells,TIMP1,CD63,0.9885683,0.008,0.25487122,0.32127088,0.25230798,0.0008411152,0.9057251,1.0,0.2130013888649139,5,2790,5
Th naive,Macrophages FOLR2,CD52,SIGLEC10,0.7171608,0.0,0.33580756,1.205085,0.6665964,0.0055209566,0.9168586,0.039502323917205,0.2130013888649139,1182,6473,1182
